proposition_id,blind_item_id,atomic_proposition,coder01_label,coder01_rationale,coder01_confidence,coder01_completed_at,coder02_label,coder02_rationale,coder02_confidence,coder02_completed_at,initial_agreement,final_label,final_label_basis
SF-005-P02,SF-005,Flashing carriage lights were one of the participant's strongest triggers.,supported,The participant directly identifies flashing carriage lights as one of the strongest triggers.,3,2026-08-09T19:19:22+0800,supported,The trigger list explicitly contains flashing carriage lights.,3,2026-08-09T20:36:32+0800,AGREE,supported,independent agreement
SF-005-P03,SF-005,Crowding was one of the participant's strongest triggers.,supported,The source explicitly includes crowding among the strongest triggers.,3,2026-08-09T19:20:28+0800,supported,The trigger list explicitly contains crowding.,3,2026-08-09T20:37:20+0800,AGREE,supported,independent agreement
SF-005-P04,SF-005,The participant's shoulders tightened.,supported,The participant states that their shoulders tightened.,3,2026-08-09T19:21:45+0800,supported,The bodily response “shoulders tightened” is stated.,3,2026-08-09T20:38:15+0800,AGREE,supported,independent agreement
SF-005-P05,SF-005,The participant's heart raced.,supported,The source directly states that the participant's heart raced.,3,2026-08-09T19:23:13+0800,supported,The bodily response “heart raced” is stated.,3,2026-08-09T20:39:17+0800,AGREE,supported,independent agreement
SF-005-P06,SF-005,The participant felt panicked.,supported,The participant directly reports feeling panicked.,3,2026-08-09T19:24:23+0800,supported,The emotional response “felt panicked” is stated.,3,2026-08-09T20:40:26+0800,AGREE,supported,independent agreement
SF-006-P01,SF-006,The squeeze interaction seemed useful because it would give the participant's hands a focus.,supported,The participant says the squeeze interaction seemed useful because it would give their hands a focus.,3,2026-08-09T19:26:14+0800,supported,Source wording preserves both the usefulness judgement and the hands-focus reason.,3,2026-08-09T20:41:41+0800,AGREE,supported,independent agreement
SF-006-P02,SF-006,Gentle haptics might help the participant pace their breathing.,supported,The source directly supports the modal claim that gentle haptics might help pace the participant's breathing.,3,2026-08-09T19:27:47+0800,supported,Source wording supports the same tentative benefit for breathing pace.,3,2026-08-09T20:42:44+0800,AGREE,supported,independent agreement
SF-006-P03,SF-006,The participant would avoid scent because it could be another trigger.,supported,The participant explicitly says they would avoid scent because it could be another trigger.,3,2026-08-09T19:29:33+0800,supported,Source wording preserves both scent avoidance and the possible-trigger reason.,3,2026-08-09T20:44:04+0800,AGREE,supported,independent agreement
SF-006-P04,SF-006,The participant wanted every feature to be optional.,supported,The source directly states the participant's preference for every feature to be optional.,3,2026-08-09T19:31:01+0800,supported,Every feature being optional is directly required by the participant.,3,2026-08-09T20:45:12+0800,AGREE,supported,independent agreement
SF-007-P01,SF-007,"The participant might use the referenced item (""it"") while commuting if it looked discreet and made no sound.",supported,The source directly gives this conditional use statement: the participant might use it while commuting if it were discreet and silent.,3,2026-08-09T19:32:42+0800,supported,The commuting-use condition matches: discreet appearance plus no sound.,3,2026-08-09T20:46:37+0800,AGREE,supported,independent agreement
SF-007-P02,SF-007,Obvious lights would embarrass the participant.,supported,The participant explicitly says obvious lights would be embarrassing.,3,2026-08-09T19:34:36+0800,supported,The source ties obvious lights directly to embarrassment.,3,2026-08-09T20:47:50+0800,AGREE,supported,independent agreement
SF-007-P03,SF-007,Scent would be a concern for people nearby in a shared space.,supported,The source directly states that scent would concern the participant because of people nearby in a shared space.,3,2026-08-09T19:36:12+0800,supported,The source ties scent directly to concern about nearby people in shared space.,3,2026-08-09T20:49:20+0800,AGREE,supported,independent agreement
SF-008-P01,SF-008,The described experience occurred on a crowded train.,supported,The participant source explicitly begins with the experience occurring on a crowded train.,3,2026-08-09T19:37:47+0800,supported,Location/context matches the source: the event is on a crowded train.,3,2026-08-09T20:50:34+0800,AGREE,supported,independent agreement
SF-008-P02,SF-008,The participant described the experience as sensory overload.,unsupported,The source describes feeling trapped and overwhelmed but does not state or clearly establish the category 'sensory overload'. I would not treat that interpretive label as source-supported.,3,2026-08-09T19:40:45+0800,supported,"The source does not use the term 'sensory overload', but it describes alarms, noise and crowding together with feeling trapped and overwhelmed. I read the proposition as a concise description of that experience rather than as a separate factual claim.",2,2026-08-09T20:53:05+0800,DISAGREE,unsupported,joint resolution 2026-08-10
SF-008-P03,SF-008,Alarms made the participant feel trapped.,unsupported,The alarms are only reported as sounding; the causal clause attributes feeling trapped to noise and crowding.,3,2026-08-09T19:43:19+0800,unsupported,Alarm sounding is only concurrent context. The causal wording names noise and crowding instead.,3,2026-08-09T20:55:13+0800,AGREE,unsupported,independent agreement
SF-008-P04,SF-008,Noise made the participant feel trapped.,supported,The source explicitly identifies noise as part of what made the participant feel trapped.,2,2026-08-09T19:45:25+0800,supported,Noise appears inside the source's causal statement for feeling trapped.,3,2026-08-09T20:57:04+0800,AGREE,supported,independent agreement
SF-008-P05,SF-008,Crowding made the participant feel trapped.,supported,Crowding is explicitly identified in the causal phrase describing what made the participant feel trapped.,2,2026-08-09T19:47:26+0800,supported,Crowding appears inside the source's causal statement for feeling trapped.,3,2026-08-09T20:58:50+0800,AGREE,supported,independent agreement
SF-008-P06,SF-008,Alarms made the participant feel overwhelmed.,unsupported,"The source says alarms sounded, but it does not attribute the participant's feeling overwhelmed to the alarms.",3,2026-08-09T19:50:06+0800,unsupported,"Alarm sounding is concurrent context, not a stated cause of feeling overwhelmed.",3,2026-08-09T21:01:07+0800,AGREE,unsupported,independent agreement
SF-008-P07,SF-008,Noise made the participant feel overwhelmed.,supported,Noise is explicitly named as part of what made the participant feel overwhelmed.,2,2026-08-09T19:52:04+0800,supported,Noise appears inside the source's causal statement for feeling overwhelmed.,3,2026-08-09T21:02:49+0800,AGREE,supported,independent agreement
SF-008-P08,SF-008,Crowding made the participant feel overwhelmed.,supported,Crowding is explicitly named as part of what made the participant feel overwhelmed.,2,2026-08-09T19:53:59+0800,supported,Crowding appears inside the source's causal statement for feeling overwhelmed.,3,2026-08-09T21:04:27+0800,AGREE,supported,independent agreement
SF-009-P01,SF-009,"The participant might use the referenced item (""it"") while commuting if it looked discreet and made no sound.",supported,The participant directly says they might use it while commuting if it looked discreet and made no sound.,3,2026-08-09T19:55:28+0800,supported,Conditional commuting use is supported by the same two constraints: discreet and silent.,3,2026-08-09T21:05:36+0800,AGREE,supported,independent agreement
SF-009-P02,SF-009,Obvious lights would embarrass the participant.,supported,The source explicitly states that obvious lights would embarrass the participant.,3,2026-08-09T19:57:10+0800,supported,Obvious lights are directly linked to embarrassment in the source.,3,2026-08-09T21:07:02+0800,AGREE,supported,independent agreement
SF-009-P03,SF-009,Scent would be a concern for people nearby in a shared space.,supported,The participant directly says scent would be a concern for people nearby in a shared space.,3,2026-08-09T19:59:05+0800,supported,Scent is directly linked to concern for nearby people in the shared-space context.,3,2026-08-09T21:08:16+0800,AGREE,supported,independent agreement
